Nilai Pasar Agunan,DBR,plafon,Collateral Coverage,tenor,usia,jenis_pinjaman,alamat_kota,Penilaian Rekening Koran,tujuan_penggunaan,gaji(Penghasilan),pendidikan,sandi_pengikatan,Riwayat Slik,jenis_usaha,Restruktur,kualitas_kredit,risk_score
204000000.00000006,39.0,109000000.0,1.8715596330275233,60.0,28.0,12,15,5,1,4,3,2,0,0,0,1,1
440000000.0,46.0,100000000.0,4.4,60.0,37.0,12,0,8,1,2,1,2,2,0,0,1,1
329000000.0,38.0,110000000.0,2.990909090909091,60.0,51.0,12,26,4,1,3,3,2,1,0,0,1,1
137780000.0,29.87,25873844.0,5.325068822398404,24.0,49.0,13,21,4,1,1,1,2,3,0,0,1,2
9013333.0,15.189999999999998,6000000.0,1.5022221666666664,12.0,25.0,6,1,2,2,1,1,3,5,3,0,1,2
24500000.00000012,57.35,15000000.0,1.6333333333333333,12.0,60.0,6,1,0,2,1,1,3,2,3,0,1,2
1308000000.0,52.43,300000000.0,4.36,60.0,55.0,6,1,4,2,2,1,2,2,3,0,1,1
46500000.0,29.74,13000000.0,3.576923076923077,36.0,55.0,6,1,4,2,1,1,5,2,3,0,2,2
65000000.0,18.13,13000000.0,5.0,36.0,46.0,6,1,0,2,1,1,5,1,3,0,1,2
58000000.0,47.79,12000000.000000015,4.833333333333333,36.0,38.0,14,1,2,1,1,1,5,2,0,0,1,2
180500000.0,29.770000000000003,50000000.0,3.61,36.0,30.0,4,1,3,2,1,1,2,5,0,0,1,2
24000000.0,21.26,15000000.0,1.5999999999999996,24.0,45.0,6,1,0,2,1,1,3,2,3,0,1,2
1379000000.0,46.03,800000000.0,1.72375,60.0,49.0,14,21,6,1,1,3,2,2,0,0,1,3
566050000.0,45.27,130000000.0,4.354230769230769,42.0,42.0,11,11,9,0,1,1,2,5,0,0,1,1
262000000.0,31.979999999999997,100000000.0,2.62,36.0,31.0,4,11,6,2,1,1,2,1,6,0,1,1
189999999.99999994,35.08,120000000.0,1.583333333333333,6.0,58.0,8,21,6,2,2,3,1,2,6,0,1,1
439000000.0,50.0,100000000.0,4.39,48.0,29.0,12,0,8,1,4,3,2,2,0,0,1,1
236000000.0,42.0,50000000.0,4.72,36.0,22.0,12,1,4,1,1,1,2,2,0,0,1,2
4630000000.0,43.0,125000000.0,37.04,36.0,47.0,0,0,8,2,4,2,2,2,2,0,1,3
545796000.0,40.99,100000000.0,5.45796,48.0,39.0,14,21,9,1,2,4,2,2,0,0,1,1
11000000.0,37.14,6000000.0,1.833333333333333,6.0,23.0,14,17,8,1,1,1,3,2,0,0,1,1
2588300000.0,62.43,999999999.9999999,2.5883,60.0,49.0,14,0,8,1,4,3,2,2,6,0,1,3
37000000.0,29.59,5000000.0,7.4,4.0,67.0,14,17,2,1,1,5,3,2,0,0,1,2
330000000.0,51.68,140000000.0,2.357142857142857,30.0,52.0,14,21,8,1,2,3,4,3,0,0,1,1
1993000000.0,37.0,130000000.0,15.330769230769231,60.0,52.0,0,14,4,2,3,3,4,0,6,0,1,3
