nomor_registrasi,jenis_kelamin,status_perkawinan,alamat_kota,jenis_pinjaman,tujuan_penggunaan,jenis_jaminan,sandi_pengikatan,Restruktur,jenis_pekerjaan,jenis_usaha,Lama Menikah,Riwayat Slik,Penilaian Rekening Koran,kualitas_kredit,gaji(Penghasilan),pendidikan,usia,tenor,jumlah_Pengajuan,jumlah_tanggungan,plafon,Nilai Pasar Agunan,LTV,Collateral Coverage,DBR
258,0,0,11,4,2,5,2,0,152,6,2,1,2,4,2,1,25,36,1,0,75000000.0,322200000.0,0.23277467411545624,4.296,60.98
220,1,4,1,6,2,2,3,0,127,3,1,0,3,1,1,1,45,12,1,3,15000000.0,23600000.0,0.635593220338983,1.5733333333333333,49.63
255,0,4,0,12,1,5,2,0,178,0,1,0,2,1,2,2,43,60,1,2,130000000.0,227000000.0,0.5726872246696035,1.7461538461538462,68.0
256,0,4,20,14,1,5,2,0,182,0,0,1,4,1,2,3,42,36,1,3,77000000.0,125268000.0,0.6146821215314366,1.6268571428571428,33.94
259,1,3,21,14,1,5,2,0,237,6,5,2,2,1,2,1,49,22,1,1,46000000.0,385000000.0,0.11948051948051948,8.369565217391305,50.05
260,1,4,1,14,1,5,2,0,220,3,1,4,3,1,1,3,51,42,1,3,115300000.0,233340000.0,0.4941287391788806,2.0237640936686905,46.66
27,0,4,17,14,1,2,3,0,160,0,6,2,2,1,1,5,67,4,1,1,5000000.0,39500000.0,0.12658227848101267,7.9,29.59
261,1,4,1,14,1,5,2,0,209,6,0,2,2,1,2,2,30,20,1,2,55000000.0,620000000.0,0.08870967741935484,11.272727272727273,34.83
264,0,4,21,6,2,5,2,0,135,3,0,1,4,1,2,3,33,18,1,2,100000000.0,180000000.0,0.5555555555555556,1.8,53.01
265,1,1,25,12,1,5,2,0,50,0,4,2,2,1,2,3,48,60,1,1,200000000.0,648000000.0,0.30864197530864196,3.24,43.0
267,0,4,26,12,1,5,2,0,145,0,6,3,2,1,2,2,31,60,1,2,162000000.0,746000000.0,0.21715817694369974,4.604938271604938,55.0
268,0,0,20,12,1,5,2,0,19,0,2,0,2,1,2,3,36,60,1,0,250000000.0,623000000.0,0.4012841091492777,2.492,48.0
269,0,4,18,0,2,5,2,0,250,3,0,1,4,1,2,1,36,60,1,2,319000000.0,865000000.0,0.36878612716763004,2.7115987460815045,43.5
213,0,4,21,8,2,2,3,0,32,0,1,1,2,1,1,4,43,3,2,4,60000000.0,123000000.0,0.4878048780487805,2.05,8.09
270,0,4,1,14,1,5,2,0,251,6,0,1,2,1,2,1,55,54,1,3,138650000.0,535000000.0,0.2591588785046729,3.858636855391273,38.95
411,1,4,1,14,1,5,2,0,58,0,0,1,9,1,1,1,47,36,1,4,200000000.0,539000000.0,0.37105751391465674,2.695,37.33
24,0,4,21,14,1,2,3,0,37,6,1,2,8,1,1,1,53,12,2,3,10000000.0,18000000.0,0.5555555555555556,1.8,38.26
274,0,4,26,12,1,5,2,0,73,0,0,0,8,1,2,3,36,60,1,2,139000000.0,519000000.0,0.2678227360308285,3.7338129496402876,44.0
275,1,0,20,12,1,5,2,0,10,0,1,3,2,1,4,3,24,36,1,0,170000000.0,341000000.0,0.49853372434017595,2.0058823529411764,34.22
277,0,4,15,0,2,5,2,0,239,3,1,3,0,1,4,1,41,60,1,4,250000000.0,708000000.0,0.3531073446327684,2.832,46.0
278,1,4,20,12,1,5,2,0,134,0,0,4,2,1,4,3,41,60,1,2,110000000.0,989000000.0,0.11122345803842265,8.99090909090909,25.0
279,0,0,0,12,1,0,2,0,51,3,0,0,2,1,3,3,33,60,1,0,150000000.0,350000000.0,0.42857142857142855,2.3333333333333335,49.0
280,0,4,25,12,1,5,2,0,150,3,1,3,2,1,4,2,44,29,1,3,83500000.0,988000000.0,0.08451417004048584,11.832335329341317,43.5
281,1,4,12,0,2,5,2,0,237,6,0,2,4,1,6,2,41,36,1,3,810000000.0,1618000000.0,0.5006180469715699,1.997530864197531,40.0
282,0,4,18,12,1,5,2,0,112,0,1,1,2,1,4,3,34,48,1,4,115000000.0,238000000.0,0.4831932773109244,2.0695652173913044,54.0
288,0,4,0,12,1,5,2,0,94,0,1,3,0,1,3,4,31,48,1,3,85000000.0,213000000.0,0.39906103286384975,2.5058823529411764,38.69
284,0,4,18,12,1,5,2,0,116,0,0,0,2,1,3,3,32,60,1,2,163000000.0,447000000.0,0.36465324384787473,2.7423312883435584,49.18
289,1,4,0,12,1,5,2,0,237,3,0,1,2,1,4,2,53,60,1,4,230000000.0,914000000.0,0.25164113785557984,3.973913043478261,183.0
285,0,4,12,12,1,5,2,0,107,0,1,0,8,1,5,3,34,36,1,2,121000000.0,232000000.0,0.521551724137931,1.9173553719008265,114.0
286,1,4,25,12,1,5,2,0,53,0,0,2,2,1,1,3,33,36,1,2,87000000.0,391000000.0,0.22250639386189258,4.494252873563219,37.0
287,0,4,1,12,1,5,2,0,108,0,1,1,2,1,4,3,41,36,1,4,198000000.0,495000000.0,0.4,2.5,138.0
291,0,4,18,12,1,5,2,0,102,0,0,2,2,1,4,3,46,60,1,2,200000000.0,415000000.0,0.4819277108433735,2.075,80.0
293,1,4,1,14,1,5,2,0,102,0,1,4,2,1,2,1,49,65,1,1,114000000.0,240000000.0,0.475,2.1052631578947367,33.79
290,1,0,22,12,1,5,2,0,241,3,7,0,2,2,5,1,30,60,1,1,247000000.0,607000000.0,0.40691927512355847,2.45748987854251,58.0
89,1,4,17,14,1,6,2,0,211,0,1,0,9,1,2,1,47,72,2,2,135000000.0,236875000.0,0.5699208443271768,1.7546296296296295,42.0
295,0,4,0,12,1,5,2,0,110,0,1,0,2,1,4,3,53,60,1,4,130000000.0,262000000.0,0.4961832061068702,2.0153846153846153,45.0
298,0,0,25,12,1,5,2,0,188,0,1,1,2,1,5,3,47,24,1,0,220000000.0,645000000.0,0.34108527131782945,2.9318181818181817,34.0
297,1,4,21,0,2,5,2,0,14,0,0,2,2,1,3,2,33,48,1,2,120000000.0,356000000.0,0.33707865168539325,2.966666666666667,35.0
299,1,4,21,14,1,5,5,0,83,0,0,2,9,1,2,3,52,18,1,2,15000000.0,217600000.0,0.06893382352941177,14.506666666666666,60.91
300,0,4,14,12,1,5,2,0,203,0,1,2,2,1,2,2,44,60,1,1,130000000.0,277000000.0,0.4693140794223827,2.1307692307692307,40.0
294,0,4,1,14,1,4,2,0,132,3,1,3,2,1,3,3,40,18,1,3,42000000.0,90000000.0,0.4666666666666667,2.142857142857143,46.91
301,0,4,17,12,1,5,2,0,57,0,1,0,2,1,4,3,57,36,1,3,288000000.0,1118000000.0,0.25760286225402507,3.8819444444444446,50.0
3,1,4,14,9,2,1,3,0,105,1,1,1,1,1,1,2,54,12,2,0,65000000.0,238000000.0,0.27310924369747897,3.6615384615384614,42.0
303,1,0,26,12,2,5,2,0,94,0,1,5,0,1,4,1,61,48,1,0,215000000.0,494100000.0,0.4351345881400526,2.298139534883721,35.0
4,1,4,21,14,1,2,3,0,59,0,1,2,2,1,1,2,28,24,1,1,11000000.0,22000000.0,0.5,2.0,42.38
304,0,4,14,0,2,5,2,0,138,6,0,1,8,1,4,1,54,36,1,5,100000000.0,288000000.0,0.3472222222222222,2.88,30.0
305,1,4,17,12,1,5,2,0,153,3,1,1,4,1,4,1,57,60,1,2,275000000.0,689000000.0,0.3991291727140784,2.5054545454545454,37.0
306,0,4,12,12,1,5,2,0,94,0,1,3,0,1,4,3,46,36,1,3,60000000.0,177000000.0,0.3389830508474576,2.95,18.0
307,1,4,17,14,1,5,5,0,148,3,0,1,2,1,3,1,55,11,1,1,24000000.0,160506000.0,0.14952712048147732,6.68775,45.72
310,0,4,21,12,1,5,2,0,208,0,0,2,2,1,3,1,41,60,1,3,135000000.0,297000000.0,0.45454545454545453,2.2,45.0
311,0,4,1,0,2,5,2,0,237,2,1,1,2,1,5,3,40,60,1,3,100000000.0,207000000.0,0.4830917874396135,2.07,36.0
312,0,4,21,0,2,5,2,0,237,3,1,5,2,1,5,3,25,36,1,1,340000000.0,698000000.0,0.4871060171919771,2.052941176470588,37.0
314,1,0,12,0,2,5,2,0,2,0,2,2,2,1,2,1,22,36,1,0,70000000.0,308000000.0,0.22727272727272727,4.4,38.0
315,1,4,1,14,1,5,2,0,134,0,1,2,4,1,3,3,51,48,1,0,133000000.0,700000000.0,0.19,5.2631578947368425,65.07
316,1,4,20,12,1,5,2,0,144,0,1,2,0,1,4,3,44,36,1,4,300000000.0,1171000000.0,0.2561912894961571,3.9033333333333333,28.0
317,1,4,1,12,1,5,2,0,94,0,1,2,0,1,3,1,38,60,1,2,90000000.0,380000000.0,0.23684210526315788,4.222222222222222,50.0
318,0,4,18,12,1,5,2,0,22,0,0,1,2,1,4,3,49,60,1,3,255000000.0,1098000000.0,0.23224043715846995,4.305882352941176,50.0
320,0,4,1,12,1,5,2,0,125,0,1,5,2,1,3,2,39,60,1,3,50000000.0,225000000.0,0.2222222222222222,4.5,24.0
27,0,4,17,14,1,2,3,0,160,0,1,2,2,1,1,5,67,4,2,1,5000000.0,39500000.0,0.12658227848101267,7.9,29.59
321,0,4,17,12,1,5,2,0,34,0,0,0,2,1,3,3,44,60,1,4,130000000.0,294000000.0,0.4421768707482993,2.2615384615384615,45.0
322,0,4,19,12,1,5,2,0,94,0,0,1,4,1,4,2,31,24,1,1,192000000.0,384000000.0,0.5,2.0,33.0
323,1,1,20,0,2,0,2,0,56,0,1,2,2,1,5,4,36,36,1,0,190000000.0,380000000.0,0.5,2.0,10.0
325,1,3,18,12,1,5,2,0,94,0,1,1,4,1,4,1,37,60,1,1,150000000.0,305000000.0,0.4918032786885246,2.033333333333333,41.0
324,1,0,21,12,1,5,2,0,94,0,7,2,0,1,3,1,31,60,1,1,135000000.0,889000000.0,0.15185601799775028,6.5851851851851855,49.0
326,0,4,1,12,1,5,2,0,94,0,1,2,9,1,4,3,39,48,1,3,175000000.0,356000000.0,0.49157303370786515,2.0342857142857143,19.0
327,0,4,1,12,1,5,2,0,192,0,1,3,6,1,3,3,43,36,1,7,50000000.0,202000000.0,0.24752475247524752,4.04,25.0
328,0,4,12,14,1,5,5,0,228,3,0,2,9,1,1,1,48,60,1,4,170000000.0,691800000.0,0.2457357617808615,4.069411764705882,29.1
329,0,4,15,12,1,5,2,0,187,0,1,0,5,1,4,3,28,60,1,3,109000000.0,204000000.0,0.5343137254901961,1.871559633027523,39.0
330,0,4,0,12,1,5,2,0,122,0,1,2,8,1,2,1,37,60,1,3,100000000.0,440000000.0,0.22727272727272727,4.4,46.0
331,0,4,26,12,1,5,2,0,205,0,0,1,4,1,3,3,51,60,1,2,110000000.0,329000000.0,0.3343465045592705,2.9909090909090907,38.0
173,0,4,21,13,1,7,2,0,96,0,0,3,4,1,1,1,49,24,2,2,25873844.0,137780000.0,0.18779100014515895,5.3250688223984035,29.87
283,1,0,1,6,2,2,3,0,237,3,1,5,2,1,1,1,25,12,1,0,6000000.0,9013333.0,0.6656804979911427,1.5022221666666666,15.19
121,0,4,1,6,2,2,3,0,232,3,1,2,0,1,1,1,60,12,2,1,15000000.0,24500000.0,0.6122448979591837,1.6333333333333333,57.35
292,0,4,1,6,2,5,2,0,237,3,1,2,4,1,2,1,55,60,1,3,300000000.0,1308000000.0,0.22935779816513763,4.36,52.43
199,0,4,1,6,2,5,5,0,237,3,6,2,4,2,1,1,55,36,2,2,13000000.0,46500000.0,0.27956989247311825,3.576923076923077,29.74
144,1,4,1,6,2,5,5,0,230,3,1,1,0,1,1,1,46,36,2,3,13000000.0,65000000.0,0.2,5.0,18.13
308,0,4,1,14,1,5,5,0,16,0,1,2,2,1,1,1,38,36,1,0,12000000.0,58000000.0,0.20689655172413793,4.833333333333333,47.79
333,1,4,1,4,2,5,2,0,59,0,1,5,3,1,1,1,30,36,1,3,50000000.0,180500000.0,0.2770083102493075,3.61,29.77
113,1,4,1,6,2,2,3,0,218,3,1,2,0,1,1,1,45,24,2,2,15000000.0,24000000.0,0.625,1.6,21.26
52,0,4,21,14,1,5,2,0,94,0,1,2,6,1,1,3,49,60,2,2,800000000.0,1379000000.0,0.580130529369108,1.72375,46.03
361,1,4,11,11,0,5,2,0,58,0,1,5,9,1,1,1,42,42,2,3,130000000.0,566050000.0,0.22966169066336897,4.354230769230769,45.27
370,0,4,11,4,2,5,2,0,234,6,7,1,6,1,1,1,31,36,1,3,100000000.0,262000000.0,0.3816793893129771,2.62,31.98
332,0,4,21,8,2,2,1,0,86,6,1,2,6,1,2,3,58,6,1,2,120000000.0,190000000.0,0.631578947368421,1.5833333333333333,35.08
334,0,0,0,12,1,5,2,0,46,0,0,2,8,1,4,3,29,48,1,3,100000000.0,439000000.0,0.22779043280182232,4.39,50.0
