iter	Passed	Remaining
146	249	1449
147	252	1452
148	254	1453
149	256	1453
150	258	1451
151	259	1450
152	261	1449
153	263	1448
154	265	1447
155	267	1446
156	270	1450
157	271	1448
158	273	1446
159	275	1443
160	276	1441
161	278	1439
162	279	1437
163	281	1435
164	283	1432
165	285	1432
166	287	1432
167	288	1430
168	290	1427
169	291	1425
170	293	1424
171	295	1422
172	297	1420
173	298	1418
174	300	1417
175	302	1416
176	304	1417
177	306	1415
178	308	1413
179	310	1412
180	311	1411
181	313	1408
182	315	1407
183	317	1406
184	319	1408
185	321	1407
186	323	1404
187	324	1402
188	326	1400
189	328	1398
190	329	1396
191	331	1394
192	333	1395
193	335	1395
194	337	1393
195	339	1391
196	340	1389
197	342	1387
198	344	1386
199	346	1384
200	347	1381
201	349	1381
202	351	1379
203	353	1379
204	355	1377
205	356	1375
206	358	1374
207	360	1372
208	361	1370
209	363	1368
210	365	1365
211	367	1365
212	369	1364
213	371	1363
214	372	1361
215	374	1359
216	376	1357
217	377	1355
218	379	1353
219	381	1351
220	382	1350
221	385	1349
222	386	1347
223	388	1345
224	390	1344
225	391	1342
226	393	1340
227	395	1337
228	396	1335
229	398	1333
230	400	1332
231	402	1331
232	403	1329
233	405	1327
234	407	1325
235	408	1323
236	410	1321
237	412	1319
238	413	1317
239	415	1316
240	418	1317
241	420	1315
242	421	1313
243	423	1311
244	425	1309
245	426	1307
246	428	1305
247	429	1303
248	431	1302
249	433	1301
250	435	1299
251	436	1296
252	438	1294
253	440	1292
254	441	1290
255	443	1288
256	445	1286
257	446	1284
258	448	1283
259	450	1282
260	452	1280
261	453	1278
262	455	1276
263	457	1274
264	458	1272
265	460	1270
266	462	1268
267	463	1266
268	465	1265
269	467	1264
270	469	1263
271	471	1261
272	472	1259
273	475	1258
274	476	1256
275	478	1254
276	479	1252
277	481	1251
278	483	1249
279	485	1247
280	486	1245
281	488	1243
282	490	1241
283	491	1239
284	493	1237
285	494	1235
286	496	1233
287	498	1232
288	500	1231
289	502	1229
290	504	1228
291	505	1225
292	507	1224
293	509	1222
294	510	1220
295	512	1218
296	514	1217
297	516	1215
298	517	1213
299	519	1211
300	521	1210
301	522	1208
302	524	1207
303	526	1205
304	528	1203
305	529	1201
306	531	1200
307	533	1198
308	535	1196
309	536	1194
310	538	1192
311	540	1190
312	541	1189
313	543	1187
314	544	1185
315	546	1183
316	548	1182
317	550	1180
318	552	1179
319	554	1177
320	555	1175
321	557	1173
322	559	1171
323	560	1169
324	562	1167
325	564	1166
326	566	1165
327	567	1163
328	569	1161
329	571	1159
330	572	1157
331	574	1155
332	576	1153
333	577	1151
334	579	1149
335	581	1148
336	583	1147
337	584	1145
338	586	1143
339	588	1141
340	589	1140
341	591	1138
342	593	1136
343	594	1134
344	596	1132
345	598	1130
346	600	1129
347	601	1127
348	603	1125
349	604	1123
350	606	1121
351	608	1119
352	609	1117
353	611	1115
354	612	1113
355	614	1111
356	615	1109
357	617	1107
358	619	1105
359	620	1103
360	622	1101
361	623	1099
362	625	1097
363	627	1095
364	628	1094
365	630	1092
366	632	1090
367	633	1088
368	635	1086
369	636	1084
370	638	1082
371	640	1080
372	641	1078
373	643	1076
374	644	1074
375	646	1073
376	648	1071
377	649	1069
378	651	1067
379	653	1065
380	654	1063
381	656	1061
382	658	1060
383	659	1058
384	661	1056
385	663	1055
386	665	1053
387	667	1052
388	669	1050
389	670	1049
390	672	1047
391	674	1045
392	675	1043
393	677	1042
394	679	1041
395	681	1039
396	683	1037
397	684	1035
398	687	1035
399	688	1033
400	690	1032
401	692	1030
402	696	1031
403	698	1030
404	700	1029
405	703	1028
406	705	1028
407	707	1026
408	709	1024
409	710	1022
410	713	1021
411	714	1020
412	716	1018
413	718	1016
414	720	1014
415	721	1013
416	723	1011
417	725	1009
418	726	1007
419	728	1006
420	730	1005
421	732	1003
422	734	1001
423	735	999
424	737	998
425	739	996
426	741	994
427	742	992
428	744	991
429	746	989
430	748	988
431	750	986
432	751	984
433	753	982
434	755	980
435	756	979
436	758	977
437	760	975
438	762	974
439	763	972
440	765	970
441	767	968
442	768	966
443	770	965
444	772	963
445	774	961
446	776	960
447	778	959
448	780	957
449	781	955
450	783	953
451	785	951
452	786	950
453	788	948
454	790	946
455	791	944
456	794	943
457	796	942
458	797	940
459	799	938
460	801	936
461	803	935
462	804	933
463	806	931
464	808	929
465	810	929
466	812	927
467	814	925
468	815	923
469	817	922
470	819	920
471	821	918
472	822	916
473	824	915
474	827	914
475	828	912
476	830	910
477	831	908
478	833	906
479	835	905
480	837	903
481	838	901
482	840	899
483	842	897
484	844	896
485	846	894
486	847	892
487	849	890
488	850	889
489	852	887
490	854	885
491	855	883
492	857	881
493	859	880
494	861	879
495	863	877
496	865	875
497	866	873
498	868	871
499	870	870
500	871	868
501	873	866
502	875	864
503	877	863
504	879	861
505	880	859
506	882	857
507	884	856
508	885	854
509	887	852
510	888	850
511	890	848
512	892	847
513	894	845
514	896	844
515	898	842
516	899	840
517	901	838
518	903	837
519	904	835
520	906	833
521	908	832
522	910	830
523	912	828
524	913	826
525	915	824
526	917	823
527	918	821
528	920	819
529	922	817
530	923	815
531	925	814
532	927	812
533	929	810
534	930	808
535	932	807
536	934	805
537	935	803
538	937	801
539	939	800
540	941	798
541	943	797
542	944	795
543	946	793
544	948	791
545	949	789
546	951	787
547	952	786
548	954	784
549	956	782
550	958	781
551	960	779
552	962	777
553	963	775
554	965	773
555	966	772
556	968	770
557	970	768
558	971	766
559	974	765
560	976	763
561	977	762
562	979	760
563	981	758
564	982	756
565	984	754
566	986	753
567	987	751
568	989	749
569	991	748
570	993	746
571	995	744
572	996	742
573	998	741
574	1000	739
575	1001	737
576	1003	735
577	1005	733
578	1007	732
579	1009	730
580	1011	729
581	1012	727
582	1014	725
583	1016	723
584	1017	721
585	1019	720
586	1021	718
587	1024	717
588	1025	715
589	1027	714
590	1029	712
591	1030	710
592	1032	708
593	1034	706
594	1035	705
595	1037	703
596	1039	701
597	1041	699
598	1042	698
599	1044	696
600	1046	694
601	1048	692
602	1049	691
603	1051	689
604	1052	687
605	1054	685
606	1056	683
607	1058	682
608	1059	680
609	1061	678
610	1063	676
611	1065	675
612	1066	673
613	1068	671
614	1070	669
615	1071	668
616	1073	666
617	1075	664
618	1076	662
619	1078	661
620	1080	659
621	1082	657
622	1083	655
623	1085	654
624	1087	652
625	1089	650
626	1090	648
627	1092	647
628	1093	645
629	1096	643
630	1097	641
631	1099	640
632	1100	638
633	1102	636
634	1104	634
635	1106	633
636	1107	631
637	1109	629
638	1111	627
639	1112	625
640	1114	624
641	1116	622
642	1117	620
643	1119	618
644	1120	616
645	1122	615
646	1124	613
647	1126	611
648	1127	609
649	1129	608
650	1131	606
651	1133	604
652	1134	602
653	1136	601
654	1138	599
655	1139	597
656	1141	595
657	1143	594
658	1144	592
659	1146	590
660	1148	588
661	1149	587
662	1151	585
663	1152	583
664	1154	581
665	1156	579
666	1157	578
667	1159	576
668	1161	574
669	1163	572
670	1164	571
671	1166	569
672	1168	567
673	1170	565
674	1171	564
675	1173	562
676	1175	560
677	1176	558
678	1178	557
679	1180	555
680	1182	553
681	1183	551
682	1185	550
683	1186	548
684	1189	546
685	1190	545
686	1192	543
687	1194	541
688	1195	539
689	1197	538
690	1199	536
691	1201	534
692	1202	532
693	1204	531
694	1206	529
695	1208	527
696	1209	525
697	1211	524
698	1213	522
699	1215	520
700	1216	518
701	1218	517
702	1219	515
703	1222	513
704	1223	512
705	1225	510
706	1227	508
707	1228	506
708	1230	505
709	1232	503
710	1234	501
711	1235	499
712	1237	498
713	1239	496
714	1241	494
715	1243	493
716	1244	491
717	1246	489
718	1248	487
719	1249	486
720	1251	484
721	1253	482
722	1255	481
723	1257	479
724	1258	477
725	1260	475
726	1262	473
727	1263	472
728	1265	470
729	1267	468
730	1268	466
731	1271	465
732	1273	463
733	1274	461
734	1276	460
735	1278	458
736	1279	456
737	1281	454
738	1283	453
739	1284	451
740	1286	449
741	1288	448
742	1290	446
743	1292	444
744	1293	442
745	1295	441
746	1297	439
747	1298	437
748	1300	435
749	1301	433
750	1304	432
751	1306	430
752	1307	428
753	1309	427
754	1311	425
755	1312	423
756	1314	421
757	1316	420
758	1317	418
759	1320	416
760	1322	415
761	1324	413
762	1325	411
763	1327	410
764	1329	408
765	1330	406
766	1332	404
767	1333	402
768	1336	401
769	1338	399
770	1339	397
771	1341	396
772	1343	394
773	1345	392
774	1346	391
775	1348	389
776	1350	387
777	1352	385
778	1354	384
779	1356	382
780	1357	380
781	1359	379
782	1361	377
783	1362	375
784	1364	373
785	1366	371
786	1367	370
787	1370	368
788	1372	367
789	1375	365
790	1378	364
791	1380	362
792	1382	360
793	1384	359
794	1387	357
795	1390	356
796	1392	354
797	1417	358
798	1420	357
799	1425	356
800	1428	354
801	1433	353
802	1439	353
803	1441	351
804	1443	349
805	1445	347
806	1446	345
807	1448	344
808	1450	342
809	1452	340
810	1454	338
811	1455	337
812	1457	335
813	1459	333
814	1460	331
815	1462	329
816	1464	327
817	1465	326
818	1467	324
819	1469	322
820	1471	320
821	1472	318
822	1474	317
823	1475	315
824	1477	313
825	1479	311
826	1480	309
827	1482	307
828	1484	306
829	1485	304
830	1487	302
831	1489	300
832	1490	298
833	1492	297
834	1494	295
835	1495	293
836	1497	291
837	1499	289
838	1500	288
839	1502	286
840	1504	284
841	1505	282
842	1507	280
843	1509	278
844	1510	277
845	1512	275
846	1513	273
847	1515	271
848	1517	269
849	1518	268
850	1520	266
851	1521	264
852	1523	262
853	1525	260
854	1526	258
855	1528	257
856	1530	255
857	1531	253
858	1533	251
859	1535	249
860	1536	248
861	1538	246
862	1540	244
863	1541	242
864	1543	240
865	1545	239
866	1546	237
867	1548	235
868	1549	233
869	1551	231
870	1553	230
871	1554	228
872	1556	226
873	1557	224
874	1559	222
875	1561	220
876	1562	219
877	1564	217
878	1566	215
879	1568	213
880	1570	212
881	1571	210
882	1573	208
883	1575	206
884	1577	204
885	1579	203
886	1580	201
887	1582	199
888	1584	197
889	1586	196
890	1588	194
891	1589	192
892	1591	190
893	1593	188
894	1594	187
895	1596	185
896	1597	183
897	1600	181
898	1601	179
899	1603	178
900	1605	176
901	1607	174
902	1609	172
903	1610	171
904	1612	169
905	1613	167
906	1616	165
907	1617	163
908	1620	162
909	1621	160
910	1623	158
911	1625	156
912	1627	155
913	1629	153
914	1631	151
915	1633	149
916	1634	147
917	1636	146
918	1638	144
919	1640	142
920	1641	140
921	1643	139
922	1645	137
923	1647	135
924	1649	133
925	1651	131
926	1653	130
927	1655	128
928	1656	126
929	1658	124
930	1660	123
931	1662	121
932	1663	119
933	1665	117
934	1667	115
935	1669	114
936	1670	112
937	1672	110
938	1674	108
939	1676	106
940	1677	105
941	1679	103
942	1682	101
943	1684	99
944	1685	98
945	1687	96
946	1689	94
947	1691	92
948	1692	90
949	1694	89
950	1696	87
951	1698	85
952	1700	83
953	1701	82
954	1703	80
955	1705	78
956	1706	76
957	1708	74
958	1710	73
959	1711	71
960	1713	69
961	1715	67
962	1717	65
963	1719	64
964	1720	62
965	1722	60
966	1724	58
967	1725	57
968	1727	55
969	1729	53
970	1731	51
971	1733	49
972	1735	48
973	1737	46
974	1738	44
975	1740	42
976	1741	41
977	1743	39
978	1745	37
979	1747	35
980	1748	33
981	1750	32
982	1751	30
983	1753	28
984	1755	26
985	1756	24
986	1758	23
987	1760	21
988	1762	19
989	1763	17
990	1765	16
991	1767	14
992	1769	12
993	1770	10
994	1772	8
995	1774	7
996	1775	5
997	1777	3
998	1779	1
999	1781	0
